"country","lon","lat"
"Pitcairn Islands",-128.3242376,-24.3767537
"Poland",19.145136,51.919438
"Portugal",-8.224454,39.399872
"Puerto Rico",-66.590149,18.220833
"Qatar",51.183884,25.354826
"Reunion",55.536384,-21.115141
"Romania",24.96676,45.943161
"Russia",105.318756,61.52401
"Rwanda",29.873888,-1.940278
"Saint Barthelemy",-62.833333,17.9
"Saint Helena, Ascension and Tristan da Cunha",-10.0306945,-24.1434812
"Saint Kitts and Nevis",-62.782998,17.357822
"Saint Lucia",-60.978893,13.909444
"Saint Martin (French part)",-63.052251,18.08255
"Saint Pierre and Miquelon",-56.3159,46.8852
"Saint Vincent and the Grenadines",-61.287228,12.984305
"Samoa",-172.104629,-13.759029
"San Marino",12.457777,43.94236
"Sao Tome and Principe",6.613081,0.18636
"Saudi Arabia",45.079162,23.885942
"Senegal",-14.452362,14.497401
"Serbia",21.005859,44.016521
"Seychelles",55.491977,-4.679574
"Sierra Leone",-11.779889,8.460555
"Singapore",103.819836,1.352083
"Slovakia",19.699024,48.669026
"Slovenia",14.995463,46.151241
"Solomon Islands",160.156194,-9.64571
"Somalia",46.199616,5.152149
"South Africa",22.937506,-30.559482
"South Georgia and the South Sandwich Islands",-36.587909,-54.429579
"South Sudan",31.3069788,6.8769919
"Spain",-3.74922,40.463667
"Sri Lanka",80.771797,7.873054
"Sudan",30.217636,12.862807
"Suriname",-56.027783,3.919305
"Svalbard Jan Mayen",23.6702719,77.553604
"Swaziland",31.465866,-26.522503
"Sweden",18.643501,60.128161
"Switzerland",8.227512,46.818188
"Syria",38.996815,34.802075
"Taiwan",120.960515,23.69781
"Tajikistan",71.276093,38.861034
"Tanzania",34.888822,-6.369028
"Thailand",100.992541,15.870032
"Timor-Leste",125.727539,-8.874217
"Togo",0.824782,8.619543
"Tokelau",-171.8484,-9.2002
"Tonga",-175.198242,-21.178986
"Trinidad and Tobago",-61.222503,10.691803
"Tunisia",9.537499,33.886917
"Turkey",35.243322,38.963745
"Turkmenistan",59.556278,38.969719
"Turks and Caicos Islands",-71.797928,21.694025
"Tuvalu",177.64933,-7.109535
"Uganda",32.290275,1.373333
"Ukraine",31.1655799,48.379433
"United Arab Emirates",53.847818,23.424076
"United Kingdom of Great Britain and Northern Ireland",-3.435973,55.378051
"United States Minor Outlying Islands",166.647047,19.2823192
"United States of America",-95.712891,37.09024
"Uruguay",-55.765835,-32.522779
"Uzbekistan",64.585262,41.377491
"Vanuatu",166.959158,-15.376706
"Venezuela",-66.58973,6.42375
"Vietnam",108.277199,14.058324
"British Virgin Islands",-64.639968,18.420695
"Virgin Islands (U.S.)",-64.896335,18.335765
"Wallis and Futuna",-178.1165,-14.2938
"Western Sahara",-12.885834,24.215527
"Yemen",48.516388,15.552727
"Zambia",27.849332,-13.133897
"Zimbabwe",29.154857,-19.015438
